7843988,-1.25,-9.53,1.25,1.29,2.58,3.52,-0.02,0.31,-0.17
7855425,-1.28,-9.54,1.28,0.81,2.81,3.43,-0.02,0.31,-0.17
7865288,-1.23,-9.55,1.24,0.65,2.62,3.70,-0.01,0.30,-0.19
7875295,-1.25,-9.58,1.31,0.63,2.45,3.95,-0.01,0.30,-0.19
7885107,-1.25,-9.56,1.28,0.60,2.46,3.94,-0.01,0.30,-0.19
7895530,-1.25,-9.55,1.24,0.39,3.14,3.86,-0.02,0.32,-0.19
7905677,-1.19,-9.57,1.22,0.31,2.98,4.03,-0.02,0.32,-0.19
7915903,-1.24,-9.57,1.21,0.78,2.98,4.12,-0.01,0.31,-0.20
7926254,-1.23,-9.56,1.37,0.46,3.18,4.08,-0.01,0.31,-0.20
7936310,-1.22,-9.55,1.20,0.67,3.23,4.16,-0.01,0.31,-0.20
7948585,-1.26,-9.53,1.24,0.33,3.76,4.33,-0.01,0.31,-0.19
7958640,-1.26,-9.57,1.15,2.12,3.48,4.23,-0.01,0.31,-0.19
7970822,-1.26,-9.59,1.19,-0.07,3.12,4.09,-0.00,0.30,-0.15
7980902,-1.27,-9.57,1.25,0.07,3.14,4.23,-0.00,0.30,-0.15
7994230,-1.25,-9.57,1.24,-0.17,2.56,4.06,-0.00,0.28,-0.18
8004079,-1.25,-9.55,1.21,-0.02,2.65,4.17,-0.00,0.28,-0.18
8014040,-1.28,-9.54,1.26,0.09,2.62,4.24,-0.00,0.31,-0.19
8024182,-1.27,-9.58,1.25,-0.11,2.77,4.19,-0.01,0.31,-0.19
8034217,-1.26,-9.60,1.22,-0.16,2.61,4.24,-0.01,0.31,-0.19
8044139,-1.25,-9.57,1.25,0.04,2.69,4.38,-0.01,0.29,-0.17
8055449,-1.25,-9.59,1.27,-0.04,2.48,4.29,-0.01,0.29,-0.17
8065681,-1.24,-9.56,1.23,0.04,2.61,4.57,-0.01,0.31,-0.21
8075673,-1.24,-9.56,1.27,0.07,2.56,4.33,-0.01,0.31,-0.21
8085575,-1.24,-9.57,1.27,0.40,2.85,4.32,-0.01,0.31,-0.21
8096179,-1.29,-9.54,1.26,0.17,2.38,4.10,-0.01,0.31,-0.20
8106690,-1.24,-9.57,1.25,0.25,2.19,4.41,-0.01,0.31,-0.20
8116953,-1.25,-9.53,1.18,0.24,2.35,4.05,-0.01,0.31,-0.18
8126860,-1.22,-9.53,1.20,-0.05,2.35,4.07,-0.01,0.31,-0.18
8136578,-1.22,-9.55,1.20,-0.11,2.47,4.27,-0.01,0.31,-0.18
8146688,-1.27,-9.57,1.20,-0.28,2.49,4.15,-0.01,0.31,-0.18
8158567,-1.26,-9.61,1.24,-0.07,2.26,4.31,-0.01,0.31,-0.18
8168303,-1.26,-9.58,1.29,0.18,4.41,4.22,-0.04,0.31,-0.17
8177960,-1.22,-9.59,1.28,0.04,2.13,4.04,-0.04,0.31,-0.17
8187898,-1.25,-9.58,1.23,0.02,2.03,4.00,-0.04,0.31,-0.17
8198284,-1.25,-9.55,1.28,0.11,1.99,3.95,-0.01,0.31,-0.19
8208233,-1.26,-9.57,1.24,-0.04,1.88,3.88,-0.01,0.31,-0.19
8222734,-1.28,-9.57,1.24,0.20,1.92,4.06,-0.01,0.30,-0.19
