5855528,1.39,-9.52,-0.25,2.09,1.30,2.80,0.02,0.40,-0.13
5878486,1.38,-9.53,-0.30,1.38,2.07,2.67,0.02,0.39,-0.11
5888528,1.39,-9.58,-0.32,1.79,1.76,2.90,0.02,0.39,-0.11
5899008,1.41,-9.54,-0.27,1.99,1.44,2.76,0.02,0.39,-0.11
5910893,1.40,-9.53,-0.27,1.60,1.58,2.67,0.02,0.38,-0.10
5921149,1.37,-9.56,-0.31,1.38,1.50,2.78,0.02,0.38,-0.10
5954556,1.33,-9.52,-0.33,1.43,1.50,2.84,0.02,0.40,-0.12
5965547,1.34,-9.55,-0.27,1.46,1.17,2.69,0.02,0.40,-0.12
5988161,1.32,-9.53,-0.32,1.74,1.13,3.17,0.02,0.40,-0.13
5998571,1.31,-9.53,-0.30,1.51,1.20,2.93,0.02,0.40,-0.13
6011010,1.36,-9.54,-0.34,1.65,1.27,2.95,0.02,0.40,-0.13
6022199,1.37,-9.57,-0.28,1.60,0.66,2.96,0.02,0.40,-0.13
6033590,1.32,-9.54,-0.27,1.90,0.90,3.15,0.01,0.38,-0.12
6044250,1.32,-9.52,-0.27,1.49,0.77,3.14,0.01,0.38,-0.12
6054625,1.36,-9.51,-0.31,1.53,0.74,3.17,0.02,0.40,-0.12
6066085,1.41,-9.54,-0.30,1.12,1.09,2.90,0.02,0.40,-0.12
6075755,1.36,-9.56,-0.34,1.44,1.40,3.13,0.02,0.40,-0.12
6085693,1.38,-9.56,-0.28,0.94,1.99,3.11,0.02,0.39,-0.12
6095575,1.39,-9.58,-0.42,1.18,2.37,3.09,0.02,0.39,-0.12
6105295,1.39,-9.59,-0.36,1.23,2.47,3.23,0.02,0.39,-0.12
6114821,1.40,-9.61,-0.34,1.31,2.98,2.94,0.02,0.39,-0.12
6125974,1.40,-9.58,-0.39,1.45,3.26,3.03,0.02,0.39,-0.12
6136151,1.40,-9.59,-0.38,1.69,3.83,2.88,0.02,0.39,-0.12
6146001,1.38,-9.55,-0.34,1.75,3.89,2.69,0.02,0.39,-0.12
6156626,1.37,-9.54,-0.41,1.53,4.37,2.53,0.02,0.40,-0.11
6165963,1.38,-9.53,-0.31,0.77,4.39,2.52,0.02,0.40,-0.11
6175660,1.34,-9.54,-0.44,0.67,5.14,2.66,0.02,0.40,-0.11
6185467,1.29,-9.51,-0.39,0.19,4.57,2.98,0.02,0.40,-0.11
6194872,1.29,-9.53,-0.40,-0.06,6.70,2.78,0.02,0.40,-0.11
6204854,1.25,-9.49,-0.44,-0.23,3.91,3.08,0.03,0.39,-0.12
6216023,1.26,-9.54,-0.45,-0.45,3.95,3.04,0.03,0.39,-0.12
6227476,1.24,-9.56,-0.44,-0.59,3.59,3.22,0.03,0.40,-0.12
6237159,1.22,-9.57,-0.42,-0.40,3.14,3.52,0.02,0.40,-0.12
6246682,1.27,-9.59,-0.46,-0.37,2.85,3.60,0.02,0.40,-0.12
6259996,1.23,-9.54,-0.37,-0.02,2.30,3.54,0.01,0.37,-0.10
6269643,1.33,-9.54,-0.44,-0.20,2.22,3.34,0.01,0.37,-0.10
6279099,1.31,-9.55,-0.36,0.02,1.84,3.45,0.02,0.40,-0.11
6288975,1.32,-9.53,-0.34,0.04,1.58,3.26,0.02,0.40,-0.11
6298443,1.35,-9.55,-0.38,0.46,1.62,3.24,0.02,0.40,-0.11
6307860,1.33,-9.52,-0.35,0.20,1.51,3.22,0.01,0.40,-0.11
6317846,1.42,-9.54,-0.37,0.38,2.10,3.12,0.01,0.40,-0.11
6329621,1.35,-9.56,-0.26,0.69,1.91,3.00,0.01,0.40,-0.12
6339061,1.41,-9.54,-0.35,0.59,1.99,3.48,0.01,0.40,-0.12
6348939,1.44,-9.55,-0.39,0.47,2.56,3.53,0.01,0.40,-0.12
6358194,1.44,-9.57,-0.35,0.17,3.00,3.27,0.03,0.39,-0.08
6368071,1.38,-9.56,-0.33,0.11,2.80,3.46,0.03,0.39,-0.08
6380579,1.33,-9.54,-0.30,0.11,3.33,3.54,0.02,0.39,-0.11
6390374,1.37,-9.55,-0.36,0.11,3.38,3.52,0.02,0.39,-0.11
6399905,1.37,-9.54,-0.40,0.22,3.44,3.68,0.02,0.39,-0.11
6409316,1.32,-9.53,-0.34,0.28,3.18,3.65,0.03,0.39,-0.11
6420179,1.36,-9.55,-0.36,-0.11,3.38,3.81,0.03,0.39,-0.11
6435511,1.34,-9.56,-0.36,-0.17,3.76,3.61,0.02,0.39,-0.13
6445646,1.32,-9.54,-0.32,0.01,3.69,3.54,0.02,0.39,-0.13
6455102,1.31,-9.57,-0.35,0.03,3.95,3.88,0.02,0.40,-0.11
6465638,1.29,-9.56,-0.33,0.46,3.68,3.75,0.02,0.40,-0.11
6475047,1.32,-9.56,-0.36,0.56,3.77,3.38,0.02,0.40,-0.11
6484603,1.32,-9.57,-0.39,0.57,3.35,3.69,0.02,0.40,-0.13
6495315,1.28,-9.57,-0.34,0.88,3.60,3.67,0.02,0.40,-0.13
6504979,1.29,-9.56,-0.35,0.64,3.57,3.35,0.02,0.40,-0.11
6514565,1.31,-9.55,-0.35,0.59,3.34,3.33,0.02,0.40,-0.11
6524024,1.30,-9.57,-0.37,0.74,3.67,3.69,0.02,0.40,-0.11
6535558,1.31,-9.58,-0.38,0.24,3.64,3.70,0.03,0.39,-0.12
6545224,1.25,-9.54,-0.36,0.25,3.58,3.39,0.03,0.39,-0.12
6554677,1.24,-9.55,-0.35,0.32,3.46,3.74,0.02,0.39,-0.13
6564103,1.26,-9.55,-0.40,0.33,3.15,3.64,0.02,0.39,-0.13
6573465,1.25,-9.54,-0.40,0.17,3.05,3.60,0.02,0.39,-0.13
6582887,1.27,-9.55,-0.36,0.31,2.82,3.64,0.02,0.38,-0.09
