7844726,1.07,-9.59,0.78,0.30,2.13,4.04,-0.05,0.41,0.05
7856578,1.03,-9.61,0.65,0.12,1.88,3.99,-0.04,0.41,0.06
7866859,1.04,-9.59,0.74,0.36,2.01,4.01,-0.04,0.41,0.06
7879060,1.04,-9.57,0.63,0.55,1.97,3.92,-0.04,0.40,0.05
7889500,1.01,-9.54,0.67,0.20,1.89,3.75,-0.04,0.40,0.05
7899422,1.08,-9.56,0.71,0.11,1.86,4.07,-0.04,0.41,0.06
7909361,1.07,-9.54,0.69,0.03,2.06,4.43,-0.04,0.41,0.06
7919416,1.03,-9.53,0.64,-0.16,2.00,4.38,-0.04,0.41,0.06
7929385,1.00,-9.55,0.70,-0.56,2.16,4.43,-0.04,0.41,0.05
7940652,1.01,-9.56,0.58,-0.60,2.06,4.51,-0.04,0.41,0.05
7951240,1.03,-9.56,0.70,-0.36,1.90,4.24,-0.05,0.41,0.07
7962051,0.96,-9.62,0.71,-0.63,1.92,4.34,-0.05,0.41,0.07
7972071,1.03,-9.62,0.70,-0.51,1.81,4.31,-0.05,0.41,0.06
7982095,0.95,-9.62,0.73,-0.49,1.76,3.98,-0.05,0.41,0.06
7992011,0.97,-9.59,0.69,-0.34,1.08,4.32,-0.05,0.41,0.06
8002080,1.01,-9.54,0.66,0.17,0.73,4.18,-0.04,0.41,0.09
8011689,1.05,-9.56,0.62,0.04,1.13,4.09,-0.04,0.41,0.09
8021550,1.00,-9.52,0.68,-0.46,1.29,4.38,-0.04,0.42,0.05
8031233,1.03,-9.54,0.74,-0.44,0.95,4.25,-0.05,0.42,0.05
8043912,1.01,-9.60,0.71,-0.38,1.16,4.56,-0.05,0.42,0.05
8053708,1.03,-9.57,0.72,-0.33,1.06,4.72,-0.05,0.42,0.07
8063705,1.04,-9.57,0.72,-0.02,1.23,4.31,-0.05,0.42,0.07
8073502,1.05,-9.60,0.68,-0.19,1.21,4.34,-0.04,0.41,0.05
8084395,1.03,-9.59,0.73,-0.20,1.15,4.09,-0.04,0.41,0.05
8094045,1.04,-9.61,0.70,-0.63,1.15,4.30,-0.04,0.41,0.05
8104027,1.01,-9.58,0.75,0.01,1.38,4.00,-0.04,0.41,0.06
8113550,1.02,-9.55,0.71,0.14,1.04,3.98,-0.04,0.41,0.06
8123406,1.03,-9.54,0.69,-0.01,1.15,4.11,-0.04,0.41,0.06
8133154,1.00,-9.52,0.70,-0.25,0.90,4.21,-0.04,0.41,0.06
8144294,1.01,-9.56,0.75,-0.20,0.88,4.24,-0.04,0.41,0.06
8154346,1.01,-9.58,0.78,-0.27,0.94,4.37,-0.04,0.41,0.06
8164329,1.09,-9.57,0.75,-0.34,1.07,4.56,-0.04,0.41,0.06
8173988,1.05,-9.57,0.74,-0.84,1.15,4.24,-0.05,0.41,0.05
8185655,1.05,-9.63,0.75,-0.01,0.97,4.47,-0.05,0.41,0.05
8195472,1.04,-9.59,0.82,0.05,1.20,4.35,-0.05,0.41,0.05
8205169,1.05,-9.55,0.90,-0.01,1.38,4.25,-0.04,0.42,0.05
8214747,1.01,-9.59,0.78,-0.04,1.27,4.49,-0.04,0.42,0.05
8225037,1.06,-9.57,0.71,0.31,1.66,4.59,-0.04,0.41,0.07
8235629,1.01,-9.59,0.62,0.17,1.37,4.50,-0.04,0.41,0.07
8247405,1.03,-9.57,0.77,0.09,1.74,4.25,-0.04,0.41,0.06
8256963,1.07,-9.56,0.79,0.28,1.49,4.15,-0.04,0.41,0.06
8267519,1.22,-9.52,0.76,-0.10,1.71,4.26,-0.04,0.41,0.06
8277407,1.05,-9.53,0.83,-0.24,1.86,4.08,-0.04,0.39,0.08
8287145,1.05,-9.52,0.80,-0.46,1.57,4.30,-0.04,0.39,0.08
8296782,1.03,-9.54,0.86,-0.08,1.91,4.43,-0.04,0.41,0.06
8306371,1.02,-9.57,0.81,0.03,1.63,4.09,-0.04,0.41,0.06
8315775,1.04,-9.52,0.76,-0.08,1.60,4.39,-0.04,0.41,0.06
8325409,1.00,-9.56,0.75,-0.76,1.86,4.22,-0.06,0.41,0.05
8334913,0.99,-9.60,0.75,-0.92,1.39,4.32,-0.06,0.41,0.05
8348061,1.04,-9.58,0.74,-0.48,1.47,4.47,-0.04,0.40,0.06
8357744,1.00,-9.55,0.79,-0.74,1.42,4.26,-0.04,0.40,0.06
8367204,1.00,-9.53,0.88,-0.44,1.33,4.30,-0.04,0.40,0.06
8376807,1.06,-9.55,0.77,-1.13,1.18,4.51,-0.07,0.41,0.07
8386986,1.00,-9.55,0.80,-1.21,0.97,4.72,-0.07,0.41,0.07
8396507,1.03,-9.51,0.79,-0.92,1.01,4.52,-0.04,0.41,0.06
8406389,0.98,-9.55,0.67,-1.50,0.92,4.27,-0.04,0.41,0.06
8416185,0.99,-9.56,0.87,-1.53,0.85,4.62,-0.04,0.41,0.06
8426006,1.02,-9.54,0.73,-1.44,1.01,4.37,-0.06,0.41,0.06
8435608,0.96,-9.57,0.73,-1.09,1.09,4.55,-0.06,0.41,0.06
8444991,0.99,-9.55,0.69,-1.10,1.17,4.51,-0.06,0.41,0.06
8454946,0.96,-9.57,0.69,-1.15,0.67,4.52,-0.04,0.41,0.06
8464312,0.97,-9.55,0.73,-1.28,0.36,4.51,-0.04,0.41,0.06
8473892,0.90,-9.59,0.68,-1.50,-0.03,4.71,-0.04,0.42,0.07
8483266,0.93,-9.58,0.67,-1.34,0.01,4.64,-0.04,0.42,0.07
8494214,0.90,-9.55,0.62,-1.09,-0.54,4.68,-0.04,0.42,0.07
8503907,0.93,-9.54,0.65,-1.39,-1.08,4.74,-0.04,0.41,0.05
8513486,0.87,-9.57,0.71,-1.49,-1.52,4.96,-0.04,0.41,0.05
8524202,0.86,-9.57,0.64,-1.50,-2.19,4.76,-0.05,0.41,0.06
8534393,0.83,-9.59,0.66,-1.64,-3.01,4.50,-0.05,0.41,0.06
8544060,0.88,-9.59,0.68,-1.25,-3.48,4.97,-0.05,0.41,0.06
8553612,0.85,-9.54,0.73,-1.29,-3.95,4.93,-0.04,0.41,0.05
8562802,0.90,-9.58,0.67,-1.56,-4.31,5.01,-0.04,0.41,0.05
8572071,1.07,-9.57,0.68,-1.26,-4.48,4.79,-0.05,0.41,0.05
8581833,0.98,-9.56,0.73,-1.31,-5.01,4.85,-0.05,0.41,0.05
8591810,1.02,-9.59,0.75,-1.38,-4.94,5.05,-0.05,0.41,0.05
8601401,1.20,-9.55,0.72,-1.01,-4.63,5.00,-0.05,0.41,0.06
8610934,1.08,-9.54,0.72,-1.02,-4.72,4.84,-0.05,0.41,0.06
8620937,1.08,-9.58,0.82,-0.69,-5.28,4.85,-0.05,0.40,0.06
8630715,1.15,-9.58,0.77,-1.17,-4.44,4.95,-0.05,0.40,0.06
8640319,1.15,-9.60,0.84,-0.50,-3.75,4.93,-0.05,0.40,0.06
8649792,1.15,-9.56,0.85,-0.40,-3.75,4.69,-0.04,0.41,0.06
8659622,1.20,-9.62,0.80,-0.93,-3.17,4.96,-0.04,0.41,0.06
8669659,1.28,-9.63,0.78,-0.26,-2.38,4.72,-0.04,0.41,0.06
8679540,1.24,-9.59,0.91,-0.06,-1.31,4.60,-0.04,0.41,0.06
8689438,1.21,-9.54,0.91,0.26,-0.59,4.51,-0.04,0.41,0.06
8699497,1.27,-9.55,0.84,0.19,0.28,4.40,-0.04,0.41,0.06
8710240,1.28,-9.57,0.92,0.23,0.60,4.27,-0.04,0.41,0.06
8722377,1.25,-9.51,0.88,0.90,1.75,4.22,-0.05,0.42,0.06
8732243,1.23,-9.48,0.95,0.58,2.29,4.48,-0.05,0.42,0.06
8742227,1.22,-9.50,1.01,0.08,2.62,4.55,-0.05,0.42,0.06
8752553,1.18,-9.57,1.07,0.30,3.88,6.69,-0.04,0.41,0.08
8763073,1.24,-9.56,1.03,0.89,3.82,4.59,-0.04,0.41,0.08
8773215,0.96,-9.58,1.01,0.93,5.23,4.09,-0.04,0.41,0.06
8782813,0.88,-9.60,0.95,-0.31,5.83,3.71,-0.04,0.41,0.06
8792582,0.92,-9.57,0.98,-1.04,6.42,3.57,-0.04,0.41,0.06
8802235,0.91,-9.50,1.00,-1.31,6.30,3.77,-0.05,0.41,0.05
8812936,0.96,-9.53,1.07,-2.03,6.40,3.76,-0.05,0.41,0.05
8825351,1.10,-9.62,0.94,-1.59,5.69,3.88,-0.04,0.41,0.06
8835279,0.93,-9.58,0.94,-0.53,5.44,4.71,-0.04,0.41,0.06
8845374,1.06,-9.46,0.88,-0.85,5.53,4.66,-0.04,0.41,0.06
8855219,1.15,-9.45,0.94,-1.27,5.29,4.42,-0.04,0.41,0.06
8865502,1.23,-9.40,1.02,-2.25,5.74,3.89,-0.04,0.41,0.06
8875325,1.17,-9.54,1.02,-3.07,6.02,3.60,-0.04,0.40,0.05
8885297,1.22,-9.75,1.02,-2.07,6.24,3.35,-0.04,0.40,0.05
8895061,0.92,-9.72,1.02,0.34,6.08,3.37,-0.04,0.40,0.05
8904693,1.07,-9.67,1.04,0.81,6.03,3.45,-0.04,0.41,0.05
8914710,1.06,-9.62,0.97,0.80,6.14,3.47,-0.04,0.41,0.05
8924414,0.97,-9.61,0.95,1.07,5.77,3.92,-0.06,0.40,0.05
8933928,1.05,-9.47,0.96,1.26,5.81,3.88,-0.06,0.40,0.05
8945139,1.03,-9.49,1.07,0.90,5.70,4.18,-0.06,0.40,0.05
8954928,1.12,-9.50,0.99,0.70,5.29,4.16,-0.04,0.42,0.05
8965643,1.14,-9.50,0.94,0.85,5.35,4.48,-0.04,0.42,0.05
8975445,1.13,-9.52,0.92,0.17,4.86,4.04,-0.05,0.42,0.06
8986091,1.12,-9.65,0.86,0.39,5.32,3.40,-0.05,0.42,0.06
8996229,1.07,-9.68,0.84,0.59,6.04,3.72,-0.04,0.41,0.05
9006855,1.05,-9.67,0.96,0.86,6.18,3.50,-0.04,0.41,0.05
9016682,1.06,-9.62,0.94,0.72,6.54,3.38,-0.04,0.41,0.05
9029896,0.95,-9.51,1.01,0.53,7.20,3.25,-0.04,0.41,0.06
9040067,0.94,-9.46,0.88,0.21,6.84,3.41,-0.04,0.41,0.06
9050558,0.98,-9.40,0.87,-0.57,7.30,3.23,-0.05,0.41,0.05
9064111,0.96,-9.50,0.91,-1.80,8.12,3.77,-0.05,0.41,0.05
9074399,0.87,-9.57,0.97,-2.40,8.41,3.67,-0.04,0.39,0.04
9083670,0.75,-9.61,0.92,-2.48,8.63,4.26,-0.04,0.39,0.04
9093947,0.73,-9.66,0.88,-3.11,8.99,4.30,-0.04,0.39,0.04
9103833,0.81,-9.73,1.01,-2.91,8.30,4.13,-0.04,0.41,0.05
9113468,0.95,-9.71,0.96,-2.94,8.30,4.22,-0.04,0.41,0.05
9124254,0.99,-9.65,1.07,-1.44,8.15,3.80,-0.06,0.40,0.05
9133721,1.05,-9.54,0.94,-0.86,6.97,3.67,-0.06,0.40,0.05
9143230,0.99,-9.46,0.74,-0.30,6.35,3.78,-0.06,0.40,0.05
9153324,1.00,-9.52,0.77,0.27,5.30,4.11,-0.05,0.41,0.06
9162600,0.93,-9.50,0.73,0.06,4.66,5.10,-0.05,0.41,0.06
9172423,0.95,-9.62,0.76,-0.04,3.39,5.36,-0.05,0.41,0.05
